areacd,value
E01000001,39
E01000002,54
E01000003,37
E01000005,70
E01000006,27
E01000007,88
E01000008,74
E01000009,30
E01000010,70
E01000011,9
E01000012,67
E01000013,40
E01000014,41
E01000015,86
E01000016,18
E01000017,17
E01000018,13
E01000019,10
E01000020,40
E01000021,31
E01000022,26
E01000023,71
E01000024,32
E01000025,58
E01000027,37
E01000028,46
E01000029,20
E01000030,44
E01000031,17
E01000032,38
E01000033,28
E01000034,33
E01000035,27
E01000036,12
E01000037,27
E01000038,16
E01000039,45
E01000040,25
E01000041,17
E01000042,45
E01000043,23
E01000044,10
E01000045,53
E01000046,54
E01000048,28
E01000049,25
E01000050,40
E01000051,87
E01000052,19
E01000053,60
E01000054,23
E01000055,17
E01000056,74
E01000057,26
E01000058,68
E01000059,50
E01000060,34
E01000061,52
E01000062,23
E01000063,15
E01000064,43
E01000065,51
E01000066,20
E01000067,9
E01000068,7
E01000069,9
E01000070,8
E01000071,48
E01000072,66
E01000073,18
E01000074,20
E01000075,23
E01000076,24
E01000077,40
E01000078,48
E01000079,50
E01000080,29
E01000081,18
E01000082,57
E01000083,27
E01000084,30
E01000085,38
E01000086,55
E01000087,33
E01000088,19
E01000089,9
E01000090,13
E01000091,37
E01000092,86
E01000093,36
E01000094,82
E01000095,69
E01000096,62
E01000097,53
E01000098,36
E01000099,84
E01000100,25
E01000101,32
E01000102,35
E01000103,27
E01000104,55
E01000105,69
E01000106,45
E01000107,21
E01000108,31
E01000109,71
E01000110,11
E01000111,31
E01000112,45
E01000113,13
E01000114,14
E01000115,2
E01000116,7
E01000117,17
E01000118,33
E01000119,27
E01000120,3
E01000121,44
E01000122,9
E01000123,34
E01000124,51
E01000125,84
E01000126,53
E01000127,27
E01000128,12
E01000129,36
E01000130,57
E01000131,55
E01000132,18
E01000133,27
E01000134,46
E01000135,62
E01000136,41
E01000137,62
E01000138,42
E01000139,34
E01000140,67
E01000141,31
E01000142,53
E01000143,57
E01000144,47
E01000145,29
E01000146,51
E01000147,8
E01000148,78
E01000150,41
E01000151,48
E01000152,72
E01000153,67
E01000154,69
E01000155,85
E01000156,31
E01000157,33
E01000158,33
E01000159,35
E01000160,72
E01000161,57
E01000162,24
E01000163,64
E01000164,42
E01000165,74
E01000166,32
E01000167,30
E01000168,6
E01000169,43
E01000170,41
E01000171,59
E01000172,23
E01000173,20
E01000174,48
E01000175,18
E01000176,66
E01000177,19
E01000178,37
E01000179,45
E01000180,41
E01000181,25
E01000182,14
E01000183,34
E01000184,49
E01000185,58
E01000186,15
E01000187,33
E01000188,24
E01000189,96
E01000190,33
E01000191,47
E01000192,35
E01000193,50
E01000194,38
E01000195,42
E01000196,57
E01000197,21
E01000198,63
E01000199,41
E01000200,34
E01000201,37
E01000202,26
E01000203,51
E01000204,49
E01000205,4
E01000206,40
E01000207,22
E01000208,27
E01000209,2
E01000210,14
E01000211,37
E01000212,26
E01000213,7
E01000214,48
E01000215,39
E01000216,35
E01000217,18
E01000218,30
E01000219,35
E01000220,69
E01000221,50
E01000222,48
E01000223,72
E01000224,23
E01000225,54
E01000226,38
E01000227,5
E01000228,30
E01000229,29
E01000230,27
E01000231,14
E01000232,39
E01000233,15
E01000234,44
E01000235,58
E01000236,42
E01000237,37
E01000238,29
E01000239,66
E01000240,22
E01000241,39
E01000242,34
E01000243,42
E01000244,45
E01000245,53
E01000246,22
E01000247,45
E01000248,35
E01000249,30
E01000250,56
E01000251,63
E01000252,52
E01000253,40
E01000254,14
E01000255,67
E01000256,36
E01000257,70
E01000258,49
E01000259,52
E01000260,51
E01000261,33
E01000262,88
E01000263,20
E01000264,36
E01000265,31
E01000266,13
E01000267,27
E01000268,44
E01000269,15
E01000270,35
E01000271,36
E01000272,33
E01000273,39
E01000274,43
E01000275,65
E01000276,9
E01000277,51
E01000278,6
E01000279,25
E01000280,16
E01000281,78
E01000282,33
E01000283,12
E01000284,51
E01000285,28
E01000286,32
E01000287,38
E01000288,22
E01000289,43
E01000290,29
E01000291,63
E01000292,47
E01000293,27
E01000294,41
E01000295,19
E01000296,34
E01000297,24
E01000298,38
E01000299,54
E01000300,39
E01000301,25
E01000302,43
E01000303,15
E01000304,27
E01000305,68
E01000306,31
E01000307,18
E01000308,88
E01000309,41
E01000310,51
E01000311,34
E01000312,44
E01000313,51
E01000314,47
E01000315,41
E01000316,39
E01000317,36
E01000318,20
E01000319,7
E01000320,57
E01000321,58
E01000322,29
E01000323,54
E01000324,16
E01000325,6
E01000326,18
E01000327,11
E01000328,20
E01000329,42
E01000330,40
E01000331,23
E01000332,27
E01000333,46
E01000334,25
E01000335,72
E01000336,37
E01000337,21
E01000338,28
E01000339,19
E01000340,15
E01000341,18
E01000342,19
E01000343,8
E01000344,17
E01000345,12
E01000346,10
E01000347,20
E01000348,5
E01000349,7
E01000350,10
E01000351,15
E01000352,23
E01000353,5
E01000354,28
E01000355,4
E01000356,9
E01000357,6
E01000358,6
E01000359,14
E01000360,44
E01000361,21
E01000362,55
E01000363,16
E01000364,20
E01000365,29
E01000366,19
E01000367,53
E01000368,32
E01000369,12
E01000370,28
E01000371,7
E01000372,23
E01000373,91
E01000374,16
E01000375,62
E01000376,13
E01000377,38
E01000378,55
E01000379,19
E01000380,63
E01000381,35
E01000382,11
E01000383,18
E01000384,21
E01000385,46
E01000386,35
E01000387,18
E01000388,8
E01000389,44
E01000390,21
E01000391,14
E01000392,47
E01000393,11
E01000394,43
E01000395,19
E01000396,7
E01000398,12
E01000399,20
E01000400,14
E01000401,42
E01000402,42
E01000403,75
E01000404,69
E01000405,48
E01000406,48
E01000407,49
E01000408,18
E01000409,4
E01000410,8
E01000411,8
E01000412,20
E01000413,16
E01000414,39
E01000415,9
E01000416,18
E01000417,25
E01000418,26
E01000419,7
E01000420,17
E01000421,4
E01000422,34
E01000423,8
E01000424,19
E01000425,14
E01000426,35
E01000427,29
E01000428,44
E01000429,45
E01000430,45
E01000431,37
E01000432,65
E01000433,48
E01000434,51
E01000435,42
E01000436,6
E01000437,3
E01000438,10
E01000439,19
E01000440,5
E01000441,48
E01000442,7
E01000443,21
E01000444,18
E01000445,14
E01000446,15
E01000447,55
E01000448,16
E01000449,33
E01000450,15
E01000451,8
E01000452,6
E01000453,6
E01000454,20
E01000455,9
E01000456,3
E01000457,53
E01000458,40
E01000459,59
E01000460,17
E01000461,6
E01000462,49
E01000463,12
E01000464,24
E01000465,31
E01000466,14
E01000467,44
E01000468,78
E01000469,53
E01000470,45
E01000471,7
E01000472,72
E01000473,72
E01000474,24
E01000475,31
E01000476,48
E01000477,21
E01000478,69
E01000479,12
E01000480,9
E01000481,31
E01000482,70
E01000483,42
E01000484,73
E01000485,35
E01000486,11
E01000487,46
E01000488,34
E01000489,43
E01000490,43
E01000491,53
E01000492,7
E01000493,9
E01000494,55
E01000495,63
E01000497,63
E01000498,41
E01000499,49
E01000501,47
E01000502,56
E01000503,43
E01000504,38
E01000505,60
E01000506,24
E01000507,25
E01000508,74
E01000509,16
E01000510,27
E01000511,27
E01000512,34
E01000513,9
E01000514,14
E01000515,40
E01000516,58
E01000517,14
E01000518,23
E01000519,28
E01000520,31
E01000521,52
E01000522,35
E01000523,29
E01000524,57
E01000525,32
E01000526,69
E01000527,22
E01000528,81
E01000530,27
E01000531,44
E01000532,15
E01000533,46
E01000534,11
E01000535,26
E01000536,42
E01000538,8
E01000539,28
E01000540,16
E01000541,21
E01000543,15
E01000544,76
E01000545,47
E01000546,35
E01000547,26
E01000548,69
E01000549,30
E01000550,76
E01000551,85
E01000552,63
E01000553,24
E01000554,40
E01000555,17
E01000556,49
E01000557,37
E01000558,36
E01000559,49
E01000560,26
E01000561,64
E01000562,20
E01000563,3
E01000564,21
E01000565,27
E01000566,5
E01000567,39
E01000568,57
E01000569,7
E01000570,25
E01000571,13
E01000572,7
E01000573,13
E01000574,11
E01000575,45
E01000576,57
E01000577,73
E01000578,69
E01000579,36
E01000580,50
E01000581,23
E01000582,19
E01000583,32
E01000584,13
E01000585,11
E01000586,67
E01000587,15
E01000588,85
E01000589,66
E01000590,31
E01000591,32
E01000592,49
E01000593,49
E01000594,21
E01000595,41
E01000596,53
E01000599,99
E01000600,96
E01000601,65
E01000602,42
E01000603,44
E01000604,50
E01000605,50
E01000606,36
E01000607,28
E01000608,54
E01000609,43
E01000610,44
E01000611,83
E01000612,29
E01000613,43
E01000615,83
E01000616,41
E01000617,73
E01000618,22
E01000619,12
E01000620,24
E01000621,23
E01000622,29
E01000623,21
E01000624,9
E01000625,26
E01000626,57
E01000627,17
E01000628,37
E01000629,13
E01000630,74
E01000631,39
E01000632,17
E01000633,48
E01000634,68
E01000635,78
E01000636,87
E01000637,14
E01000638,60
E01000639,27
E01000640,61
E01000641,53
E01000642,55
E01000643,72
E01000644,52
E01000645,27
E01000646,55
E01000647,26
E01000648,30
E01000649,42
E01000650,41
E01000651,22
E01000652,19
E01000653,35
E01000654,20
E01000655,25
E01000656,29
E01000657,38
